Common Name,Status
Mountain Bluebird,Accidental
bluebird sp.,Accidental
Townsend's Solitaire,Accidental
Varied Thrush,Accidental
Orange-billed Nightingale-Thrush,Accidental
Veery,Accidental
Gray-cheeked Thrush,Accidental
Swainson's Thrush,Accidental
Hermit Thrush,Accidental
Catharus sp.,Accidental
Wood Thrush,Accidental
Aztec Thrush,Accidental
White-throated Thrush,Accidental
Clay-colored Thrush,Accidental
American Robin,Accidental
Rufous-backed Robin,Accidental
Turdus sp.,Accidental
thrush sp.,Accidental
White-rumped Shama,Accidental
Bohemian Waxwing,Accidental
Cedar Waxwing,Accidental
Bohemian/Cedar Waxwing,Accidental
Phainopepla,Rare
Olive Warbler,Accidental
Vitelline Masked-Weaver,Accidental
Northern Red Bishop,Accidental
Zebra Finch,Accidental
Indian Silverbill,Accidental
Scaly-breasted Munia,Accidental
Tricolored Munia,Accidental
House Sparrow,Rare
White Wagtail,Accidental
American Pipit,Accidental
Sprague's Pipit,Accidental
pipit sp.,Accidental
Evening Grosbeak,Accidental
Pine Grosbeak,Accidental
Gray-crowned Rosy-Finch,Accidental
Black Rosy-Finch,Accidental
rosy-finch sp.,Accidental
House Finch,Rare
Purple Finch,Accidental
Cassin's Finch,Accidental
Purple/Cassin's Finch,Accidental
Haemorhous sp.,Accidental
Red Crossbill,Accidental
White-winged Crossbill,Accidental
crossbill sp.,Accidental
European Goldfinch,Accidental
Pine Siskin,Accidental
Lesser Goldfinch,Rare
Lawrence's Goldfinch,Accidental
American Goldfinch,Accidental
new world goldfinch sp.,Accidental
Spinus sp.,Accidental
Acanthis/Spinus sp.,Accidental
finch sp.,Accidental
Lapland Longspur,Accidental
Chestnut-collared Longspur,Accidental
Thick-billed Longspur,Accidental
longspur sp.,Accidental
Little Bunting,Accidental
Rufous-winged Sparrow,Accidental
Botteri's Sparrow,Accidental
Cassin's Sparrow,Accidental
Botteri's/Cassin's Sparrow,Accidental
Peucaea sp.,Accidental
Grasshopper Sparrow,Accidental
Chipping Sparrow,Accidental
Clay-colored Sparrow,Accidental
Black-chinned Sparrow,Accidental
Field Sparrow,Accidental
Brewer's Sparrow,Accidental
Clay-colored/Brewer's Sparrow,Accidental
Spizella sp.,Accidental
Five-striped Sparrow,Accidental
Black-throated Sparrow,Rare
Lark Sparrow,Accidental
Lark Bunting,Accidental
American Tree Sparrow,Accidental
Fox Sparrow,Accidental
Dark-eyed Junco,Accidental
Yellow-eyed Junco,Accidental
Dark-eyed/Yellow-eyed Junco,Accidental
White-crowned Sparrow,Rare
Golden-crowned Sparrow,Accidental
White-crowned x Golden-crowned Sparrow (hybrid),Accidental
Harris's Sparrow,Accidental
White-throated Sparrow,Accidental
Zonotrichia sp.,Accidental
Sagebrush Sparrow,Accidental
Bell's Sparrow,Accidental
