Common Name,Status
Zonotrichia sp.,Accidental
Sagebrush Sparrow,Accidental
Vesper Sparrow,Accidental
LeConte's Sparrow,Accidental
Savannah Sparrow,Accidental
Song Sparrow,Rare
Lincoln's Sparrow,Accidental
Swamp Sparrow,Accidental
Song x Swamp Sparrow (hybrid),Accidental
Green-tailed Towhee,Accidental
Spotted Towhee,Rare
Spotted/Eastern Towhee (Rufous-sided Towhee),Accidental
new world sparrow sp.,Accidental
Yellow-breasted Chat,Accidental
Yellow-headed Blackbird,Accidental
Bobolink,Accidental
Western Meadowlark,Accidental
Western/Eastern Meadowlark,Accidental
Orchard Oriole,Accidental
Hooded Oriole,Accidental
Bullock's Oriole,Accidental
Baltimore Oriole,Accidental
Bullock's/Baltimore Oriole,Accidental
new world oriole sp.,Accidental
Red-winged Blackbird,Rare
Tricolored Blackbird,Accidental
Red-winged/Tricolored Blackbird,Accidental
Brown-headed Cowbird,Accidental
Rusty Blackbird,Accidental
Brewer's Blackbird,Accidental
Rusty/Brewer's Blackbird,Accidental
Common Grackle,Accidental
Great-tailed Grackle,Accidental
blackbird sp.,Accidental
Ovenbird,Accidental
Northern Waterthrush,Accidental
Black-and-white Warbler,Accidental
Prothonotary Warbler,Accidental
Tennessee Warbler,Accidental
Orange-crowned Warbler,Accidental
Lucy's Warbler,Accidental
Nashville Warbler,Accidental
Leiothlypis sp.,Accidental
MacGillivray's Warbler,Accidental
MacGillivray's/Mourning Warbler,Accidental
Common Yellowthroat,Accidental
yellowthroat sp.,Accidental
Hooded Warbler,Accidental
American Redstart,Accidental
Cape May Warbler,Accidental
Northern Parula,Accidental
Magnolia Warbler,Accidental
Bay-breasted Warbler,Accidental
Blackburnian Warbler,Accidental
Yellow Warbler,Accidental
Chestnut-sided Warbler,Accidental
Blackpoll Warbler,Accidental
Black-throated Blue Warbler,Accidental
Palm Warbler,Accidental
Yellow-rumped Warbler,Rare
Yellow-throated Warbler,Accidental
Prairie Warbler,Accidental
Black-throated Gray Warbler,Accidental
Townsend's Warbler,Accidental
Black-throated Gray x Townsend's Warbler (hybrid),Accidental
Black-throated Gray/Townsend's Warbler,Accidental
Hermit Warbler,Accidental
Townsend's x Hermit Warbler (hybrid),Accidental
Black-throated Gray/Hermit Warbler,Accidental
Townsend's/Hermit Warbler,Accidental
Black-throated Green Warbler,Accidental
Setophaga sp.,Accidental
Canada Warbler,Accidental
Wilson's Warbler,Accidental
Painted Redstart,Accidental
new world warbler sp.,Accidental
Summer Tanager,Accidental
Scarlet Tanager,Accidental
Western Tanager,Accidental
Rose-breasted Grosbeak,Accidental
Black-headed Grosbeak,Accidental
Rose-breasted/Black-headed Grosbeak,Accidental
Blue Grosbeak,Accidental
Lazuli Bunting,Accidental
Indigo Bunting,Accidental
Lazuli x Indigo Bunting (hybrid),Accidental
Lazuli/Indigo Bunting,Accidental
Painted Bunting,Accidental
Passerina sp.,Accidental
Dickcissel,Accidental
passerine sp.,Accidental
bird sp.,Accidental
