Common Name,Status
Western x Mountain Bluebird (hybrid),Accidental
bluebird sp.,Accidental
Townsend's Solitaire,Accidental
Varied Thrush,Accidental
Veery,Accidental
Swainson's Thrush,Accidental
Hermit Thrush,Accidental
Catharus sp.,Accidental
Wood Thrush,Accidental
American Robin,Rare
Varied Thrush/American Robin,Accidental
Dusky Thrush,Accidental
Turdus sp.,Accidental
thrush sp.,Accidental
Red-flanked Bluetail,Accidental
Bohemian Waxwing,Accidental
Cedar Waxwing,Rare
Bohemian/Cedar Waxwing,Accidental
Phainopepla,Accidental
Zebra Finch,Accidental
House Sparrow,Rare
White Wagtail,Accidental
Red-throated Pipit,Accidental
Siberian Pipit,Accidental
American Pipit,Accidental
Sprague's Pipit,Accidental
pipit sp.,Accidental
Brambling,Accidental
Evening Grosbeak,Accidental
Pine Grosbeak,Accidental
Gray-crowned Rosy-Finch,Accidental
Black Rosy-Finch,Accidental
rosy-finch sp.,Accidental
House Finch,Rare
Purple Finch,Accidental
House/Purple Finch,Accidental
Cassin's Finch,Accidental
Purple/Cassin's Finch,Accidental
Haemorhous sp.,Accidental
Oriental Greenfinch,Accidental
Redpoll,Accidental
Red Crossbill,Accidental
White-winged Crossbill,Accidental
crossbill sp.,Accidental
European Goldfinch,Accidental
Pine Siskin,Accidental
Lesser Goldfinch,Rare
Lawrence's Goldfinch,Accidental
American Goldfinch,Rare
Lesser x American Goldfinch (hybrid),Accidental
new world goldfinch sp.,Accidental
Spinus sp.,Accidental
Acanthis/Spinus sp.,Accidental
finch sp.,Accidental
Lapland Longspur,Accidental
Chestnut-collared Longspur,Accidental
Thick-billed Longspur,Accidental
longspur sp.,Accidental
Snow Bunting,Accidental
Snow/McKay's Bunting,Accidental
Cassin's Sparrow,Accidental
Grasshopper Sparrow,Accidental
Chipping Sparrow,Accidental
Clay-colored Sparrow,Accidental
Field Sparrow,Accidental
Brewer's Sparrow,Accidental
Spizella sp.,Accidental
Black-throated Sparrow,Accidental
Lark Sparrow,Accidental
Lark Bunting,Accidental
American Tree Sparrow,Accidental
Fox Sparrow,Accidental
Dark-eyed Junco,Rare
White-crowned Sparrow,Rare
Golden-crowned Sparrow,Rare
White-crowned x Golden-crowned Sparrow (hybrid),Accidental
Harris's Sparrow,Accidental
White-throated Sparrow,Accidental
White-crowned x White-throated Sparrow (hybrid),Accidental
Golden-crowned x White-throated Sparrow (hybrid),Accidental
Zonotrichia sp.,Accidental
Sagebrush Sparrow,Accidental
Vesper Sparrow,Accidental
LeConte's Sparrow,Accidental
Savannah Sparrow,Accidental
Song Sparrow,Rare
Lincoln's Sparrow,Accidental
Swamp Sparrow,Accidental
Lincoln's/Swamp Sparrow,Accidental
California Towhee,Accidental
Green-tailed Towhee,Accidental
Spotted Towhee,Rare
Spotted/Eastern Towhee (Rufous-sided Towhee),Accidental
towhee sp.,Accidental
new world sparrow sp.,Accidental
Yellow-breasted Chat,Accidental
Yellow-headed Blackbird,Accidental
Bobolink,Accidental
Western Meadowlark,Accidental
Western/Eastern Meadowlark,Accidental
Sturnella meadowlark sp.,Accidental
Orchard Oriole,Accidental
Hooded Oriole,Accidental
Bullock's Oriole,Accidental
Baltimore Oriole,Accidental
Bullock's/Baltimore Oriole,Accidental
new world oriole sp.,Accidental
Red-winged Blackbird,Rare
Tricolored Blackbird,Accidental
Red-winged/Tricolored Blackbird,Accidental
Brown-headed Cowbird,Accidental
Rusty Blackbird,Accidental
Brewer's Blackbird,Accidental
Rusty/Brewer's Blackbird,Accidental
Common Grackle,Accidental
Great-tailed Grackle,Accidental
grackle sp.,Accidental
blackbird sp.,Accidental
Ovenbird,Accidental
Northern Waterthrush,Accidental
Blue-winged Warbler,Accidental
Black-and-white Warbler,Accidental
Prothonotary Warbler,Accidental
Tennessee Warbler,Accidental
Orange-crowned Warbler,Accidental
Lucy's Warbler,Accidental
Nashville Warbler,Accidental
Virginia's Warbler,Accidental
Leiothlypis sp.,Accidental
MacGillivray's Warbler,Accidental
MacGillivray's/Mourning Warbler,Accidental
Kentucky Warbler,Accidental
Common Yellowthroat,Accidental
MacGillivray's Warbler x Common Yellowthroat (hybrid),Accidental
Hooded Warbler,Accidental
American Redstart,Accidental
Cape May Warbler,Accidental
Northern Parula,Accidental
Magnolia Warbler,Accidental
Bay-breasted Warbler,Accidental
Blackburnian Warbler,Accidental
Yellow Warbler,Accidental
Chestnut-sided Warbler,Accidental
Blackpoll Warbler,Accidental
Black-throated Blue Warbler,Accidental
Palm Warbler,Accidental
Pine Warbler,Accidental
Yellow-rumped Warbler,Rare
Yellow-throated Warbler,Accidental
Prairie Warbler,Accidental
Black-throated Gray Warbler,Accidental
Townsend's Warbler,Accidental
Yellow-rumped x Townsend's Warbler (hybrid),Accidental
Black-throated Gray/Townsend's Warbler,Accidental
Hermit Warbler,Accidental
Townsend's x Hermit Warbler (hybrid),Accidental
Black-throated Gray/Hermit Warbler,Accidental
Townsend's/Hermit Warbler,Accidental
Black-throated Green Warbler,Accidental
Setophaga sp.,Accidental
Canada Warbler,Accidental
Wilson's Warbler,Accidental
new world warbler sp.,Accidental
Summer Tanager,Accidental
Scarlet Tanager,Accidental
Western Tanager,Accidental
Summer x Western Tanager (hybrid),Accidental
tanager sp. (Piranga sp.),Accidental
Rose-breasted Grosbeak,Accidental
Black-headed Grosbeak,Accidental
Rose-breasted x Black-headed Grosbeak (hybrid),Accidental
Rose-breasted/Black-headed Grosbeak,Accidental
Blue Grosbeak,Accidental
Lazuli Bunting,Accidental
Indigo Bunting,Accidental
Lazuli x Indigo Bunting (hybrid),Accidental
Lazuli/Indigo Bunting,Accidental
Painted Bunting,Accidental
Passerina sp.,Accidental
Dickcissel,Accidental
passerine sp.,Accidental
bird sp.,Accidental
